iter	Passed	Remaining
0	149	149003
1	153	76352
2	155	51674
3	157	39156
4	158	31604
5	160	26525
6	163	23130
7	165	20511
8	166	18371
9	168	16653
10	169	15236
11	170	14056
12	171	13031
13	172	12145
14	173	11373
15	176	10843
16	177	10271
17	178	9732
18	179	9249
19	179	8813
20	180	8417
21	181	8058
22	182	7734
23	183	7443
24	183	7170
25	184	6913
26	185	6674
27	185	6451
28	186	6244
29	187	6060
30	188	5881
31	189	5718
32	190	5570
33	190	5422
34	191	5286
35	192	5157
36	193	5035
37	194	4921
38	195	4809
39	195	4700
40	196	4596
41	197	4499
42	197	4404
43	198	4317
44	199	4231
45	200	4148
46	200	4071
47	201	3995
48	202	3928
49	203	3862
50	203	3795
51	205	3742
52	206	3686
53	207	3627
54	207	3570
55	208	3513
56	209	3459
57	209	3406
58	210	3356
59	211	3307
60	211	3259
61	212	3215
62	213	3170
63	213	3129
64	214	3087
65	215	3046
66	217	3022
67	218	2988
68	218	2951
69	219	2914
70	220	2878
71	220	2843
72	221	2809
73	221	2777
74	222	2747
75	223	2716
76	224	2686
77	224	2656
78	225	2626
79	225	2598
80	226	2570
81	227	2543
82	227	2514
83	228	2490
84	229	2471
85	230	2449
86	231	2426
87	231	2402
88	232	2380
89	233	2358
90	233	2335
91	234	2314
92	235	2293
93	235	2272
94	236	2251
95	237	2232
96	237	2214
97	238	2195
98	239	2177
99	239	2159
100	240	2140
101	241	2123
102	242	2108
103	243	2097
104	244	2081
105	244	2065
106	245	2048
107	246	2032
108	246	2016
109	247	2001
110	248	1986
111	248	1971
112	249	1957
113	250	1943
114	250	1929
115	251	1915
116	252	1903
117	252	1889
118	253	1876
119	254	1863
120	254	1850
121	255	1837
122	256	1825
123	256	1814
124	257	1803
125	258	1792
126	259	1781
127	259	1770
128	260	1759
129	261	1748
130	261	1737
131	262	1727
132	263	1716
133	263	1705
134	264	1695
135	265	1685
136	265	1675
137	266	1665
138	267	1657
139	268	1648
140	269	1639
141	269	1628
142	270	1619
143	271	1611
144	271	1603
145	272	1595
146	273	1586
147	273	1577
148	274	1568
149	275	1560
150	275	1551
151	276	1543
152	277	1535
153	277	1526
154	278	1518
155	279	1510
156	279	1503
157	280	1495
158	281	1487
159	281	1480
160	282	1472
161	283	1465
162	283	1457
163	284	1450
164	285	1443
165	286	1437
166	286	1430
167	287	1423
168	288	1417
169	288	1410
170	289	1403
171	290	1396
172	290	1389
173	291	1383
174	291	1376
175	292	1369
176	293	1363
177	293	1357
178	294	1351
179	295	1345
180	296	1340
181	296	1334
182	297	1329
183	298	1323
184	299	1318
185	300	1313
186	300	1308
187	301	1302
188	302	1297
189	302	1291
190	303	1285
191	304	1280
192	304	1274
193	305	1269
194	306	1263
195	306	1258
196	307	1252
197	307	1247
198	308	1242
199	309	1236
200	310	1234
201	311	1229
202	312	1224
203	312	1220
204	313	1215
205	314	1211
206	315	1207
207	316	1203
208	316	1198
209	317	1193
210	318	1189
211	318	1184
212	319	1179
213	319	1175
214	320	1170
215	322	1169
216	322	1164
217	323	1160
218	324	1156
219	324	1151
220	325	1147
221	326	1142
222	326	1138
223	327	1134
224	327	1129
225	328	1125
226	329	1123
227	330	1119
228	331	1116
229	332	1113
230	333	1109
231	333	1105
232	334	1101
233	335	1097
234	335	1093
235	336	1089
236	337	1085
237	337	1081
238	338	1077
239	338	1073
240	339	1069
241	340	1065
242	340	1061
243	341	1057
244	342	1054
245	342	1050
246	345	1052
247	346	1051
248	348	1050
249	348	1046
250	349	1043
251	350	1039
252	350	1036
253	351	1032
254	352	1029
255	353	1025
256	353	1022
257	354	1019
258	355	1016
259	355	1012
260	356	1009
261	357	1006
262	358	1004
263	359	1003
264	360	1000
265	361	997
266	362	995
267	363	991
268	364	989
269	365	987
270	366	984
271	366	981
272	367	978
273	368	975
274	368	972
275	369	970
276	370	967
277	371	965
278	373	964
279	374	962
280	374	959
281	375	956
282	377	956
283	378	953
284	378	950
285	379	947
286	380	944
287	380	941
288	381	938
289	383	937
290	383	935
291	384	932
292	385	929
293	386	927
294	387	925
295	387	922
296	388	919
297	389	916
298	389	913
299	390	910
300	390	907
301	391	905
302	392	902
303	392	899
304	393	897
305	394	894
306	395	892
307	395	889
308	396	886
309	397	883
310	397	881
311	398	878
312	399	876
313	400	874
314	400	871
315	401	869
316	402	866
317	402	864
318	403	861
319	404	858
320	404	856
321	405	853
322	406	851
323	406	848
324	408	847
325	409	846
326	410	844
327	411	842
328	412	840
329	413	838
330	415	840
331	416	838
332	417	836
333	418	834
334	419	832
335	420	830
336	421	828
337	422	826
338	423	824
339	423	822
340	424	820
341	425	818
342	426	816
343	427	816
344	429	814
345	429	812
346	430	811
347	431	809
348	432	806
349	433	804
350	434	802
351	435	801
352	435	799
353	436	796
354	437	794
355	438	792
356	438	790
357	439	788
358	440	786
359	441	784
360	442	783
361	443	781
362	444	779
363	445	777
364	445	775
365	446	773
366	447	771
367	448	769
368	448	767
369	449	765
370	450	763
371	451	761
372	451	759
373	452	757
374	453	755
375	453	753
376	454	751
377	456	751
378	457	750
379	458	748
380	459	746
381	460	744
382	461	742
383	461	740
384	462	738
385	463	736
386	464	734
387	464	732
388	465	730
389	466	729
390	466	727
391	467	725
392	468	723
393	470	723
394	471	722
395	472	720
396	473	718
397	473	716
398	474	715
399	475	713
400	476	711
401	477	709
402	477	707
403	478	705
404	479	704
405	479	702
406	480	700
407	481	698
408	482	696
409	483	695
410	484	693
411	484	692
412	485	690
413	486	688
414	487	686
415	487	684
416	488	682
417	489	681
418	489	679
419	490	677
420	491	675
421	492	673
422	492	672
423	493	670
424	494	668
425	495	667
426	496	665
427	496	663
428	497	662
429	498	660
430	498	658
431	499	657
432	500	655
433	501	653
434	502	652
435	502	650
436	504	649
437	505	648
438	505	646
439	506	644
440	507	642
441	507	641
442	509	640
443	510	639
444	511	637
445	512	636
446	514	636
447	515	634
448	516	633
449	517	632
450	518	631
451	519	629
452	520	628
453	520	626
454	521	624
455	522	623
456	523	621
457	523	620
458	524	618
459	525	616
460	526	615
461	526	613
462	529	613
463	529	612
464	530	610
465	531	609
466	532	607
467	533	606
468	534	604
469	535	603
470	535	601
471	537	601
472	538	599
473	539	598
474	539	596
475	540	595
476	541	593
477	542	592
478	543	591
479	544	589
480	545	588
481	546	586
482	546	585
483	547	583
484	548	582
485	548	580
486	549	578
487	550	577
488	550	575
489	551	574
490	552	572
491	553	571
492	553	569
493	554	568
494	555	566
495	556	565
496	557	564
497	558	562
498	559	561
499	559	559
500	560	558
501	561	556
502	561	555
503	562	553
504	563	552
505	564	550
506	564	549
507	565	547
508	566	546
509	567	545
510	568	543
511	568	542
512	569	540
513	570	539
514	571	537
515	572	536
516	573	535
517	573	534
518	574	532
519	575	531
520	576	529
521	576	528
522	577	526
523	578	525
524	579	524
525	580	523
526	581	521
527	581	520
528	582	518
529	583	517
530	584	515
531	584	514
532	585	513
533	586	511
534	587	510
535	588	509
536	588	507
537	589	506
538	590	504
539	590	503
540	591	501
541	592	500
542	593	499
543	593	497
544	594	496
545	595	494
546	595	493
547	596	492
548	597	490
549	598	489
550	599	488
551	601	487
552	601	486
553	602	485
554	603	484
555	604	482
556	605	481
557	606	480
558	607	478
559	607	477
560	608	476
561	609	474
562	610	473
563	610	472
564	611	470
565	612	469
566	612	468
567	614	467
568	615	465
569	616	464
570	616	463
571	617	462
572	618	461
573	619	459
574	620	458
575	621	457
576	621	455
577	622	454
578	623	453
579	623	451
580	624	450
581	625	448
582	625	447
583	626	446
584	627	444
585	628	443
586	629	442
587	629	441
588	630	440
589	631	438
590	632	437
591	632	436
592	633	434
593	634	433
594	634	432
595	635	430
596	636	429
597	636	428
598	637	426
599	638	425
600	639	424
601	640	423
602	640	421
603	641	420
604	642	419
605	643	418
606	644	416
607	644	415
608	645	414
609	646	413
610	647	412
611	648	410
612	648	409
613	649	408
614	651	407
615	651	406
616	653	405
617	654	404
618	655	403
619	658	403
620	659	402
621	660	401
622	661	400
623	663	399
624	664	398
625	665	397
626	666	396
627	667	395
628	668	394
629	669	393
630	670	392
631	673	391
632	674	390
633	675	389
634	676	388
635	677	387
636	678	386
637	679	385
638	680	384
639	681	383
640	684	383
641	686	382
642	687	381
643	688	380
644	690	379
645	691	378
646	692	377
647	693	376
648	694	375
649	696	375
650	697	374
651	698	373
652	699	371
653	703	372
654	705	371
655	707	371
656	708	369
657	709	368
658	710	367
659	711	366
660	711	365
661	712	363
662	714	363
663	715	362
664	716	361
665	718	360
666	719	359
667	721	358
668	722	357
669	723	356
670	724	355
671	725	354
672	726	352
673	726	351
674	727	350
675	728	349
676	729	348
677	730	346
678	731	345
679	732	344
680	733	343
681	733	342
682	734	340
683	735	339
684	736	338
685	736	337
686	737	335
687	738	334
688	738	333
689	739	332
690	740	330
691	740	329
692	741	328
693	742	327
694	743	326
695	744	325
696	745	323
697	745	322
698	746	321
699	747	320
700	747	318
701	748	317
702	749	316
703	749	315
704	750	314
705	751	312
706	752	311
707	752	310
708	753	309
709	754	308
710	754	306
711	755	305
712	756	304
713	756	303
714	757	302
715	758	301
716	759	299
717	760	298
718	761	297
719	762	296
720	763	295
721	763	294
722	764	292
723	765	292
724	766	290
725	767	289
726	768	288
727	769	287
728	769	286
729	770	285
730	771	284
731	773	283
732	773	281
733	774	280
734	775	279
735	776	278
736	776	277
737	777	276
738	778	274
